词语,个数
傷つけ,2
飾ら,2
入れる,2
浴び,2
通り,2
信じあえる,2
出会い,2
强,2
守り,2
逃げ,2
つぼみ,2
誇り,2
昇る,2
2027,1
泥,1
走馬,1
酔う,1
こわばる,1
掴み,1
spend,1
thirty,1
nights,1
睨ん,1
Staring,1
自身,1
イナビカリ,1
雑音,1
刺す,1
戸惑う,1
水面,1
絡まる,1
善悪,1
透け,1
偽善,1
天罰,1
Tell,1
逸材,1
挑み,1
輪,1
美しい,1
乱暴,1
敷き詰め,1
トゲ,1
現れる,1
みせる,1
心臓,1
根,1
生やし,1
知れ,1
儚い,1
散り,1
破れ,1
悲鳴,1
泣き声,1
あいだ,1
吹き飛ばせ,1
覗い,1
輝い,1
透き通っ,1
留め,1
くらくら,1
いよ,1
手放せ,1
惹きつけ,1
つかむ,1
抜け落ち,1
ちくちく,1
痛ん,1
灰色,1
安定,1
愛おしく,1
放せ,1
閉じれ,1
錯覚,1
とっく,1
凭れ,1
通し,1
かぞえ,1
切なく,1
吹き込ん,1
東京,1
隣り,1
持つ,1
はぐれ,1
握り返す,1
かなわ,1
伝う,1
伸ばし,1
つよく,1
とまら,1
始まっ,1
広く,1
がんばら,1
さびし,1
越える,1
とめ,1
手帳,1
撮っ,1
向き合う,1
電車,1
ぼんやり,1
見つめ,1
つかん,1
忘れる,1
こえる,1
つづい,1
結べる,1
つむぎ,1
歌おう,1
策划,1
演唱,1
暮肆,1
Mousse,1
贝斯,1
架子鼓,1
钢琴,1
乐器,1
張小,1
她,1
人声,1
圈,1
Studio,1
2010,1
サーキュレーション,1
宙,1
2011,1
secret,1
base,1
将来,1
10,1
8,1
2013,1
屈辱,1
反撃,1
嚆矢,1
城壁,1
彼方,1
获物,1
屠る,1
狩人,1
イェーガー,1
迸る,1
杀意,1
灼き,1
黄昏,1
绯,1
ひ,1
穿つ,1
2014,1
aLIEz,1
2015,1
くしん,1
たまる,1
ぉ,1
全身,1
全霊,1
遊び倒せ,1
楽しめよ,1
乙女,1
干物,1
妹,1
ライフ,1
2016,1
ぶきっちょ,1
めがけ,1
全然,1
なくなっ,1
チリヂリ,1
2017,1
打上,1
2018,1
Sincerely,1
カワキヲアメク,1
交渉,1
無茶苦茶,1
軽い,1
おもい,1
使い古す,1
レース,1
引用,1
フレーズ,1
踵,1
持ち上がる,1
タブー,1
読ん,1
）-《,1
2009,1
railgun,1
放て,1
置き去り,1
限界,1
能力,1
散らす,1
遥か,1
しわ,1
癒す,1
かしら,1
ひたすら,1
愛しき,1
淋し,1
[01:02.39],1
3,1
89,1
7,1
95,1
11,1
75,1
偉大,1
使い,1
15,1
64,1
動か,1
一年,1
三百六十五,1
字面,1
見れ,1
短い,1
遠かっ,1
二十歳,1
皮肉,1
たいして,1
理屈,1
增,1
えた,1
歳,1
仲良し,1
友だち,1
つなごう,1
喧哗,1
高い,1
まわり,1
置,1
避雷,1
针,1
触れる,1
安らぎ,1
くる,1
迷い込ん,1
重なっ,1
時代,1
物語る,1
now!!,1
We'll,1
on!!,1
絶え,1
消し,1
散っ,1
悔い,1
saved,1
Wherever,1
came,1
late,1
I've,1
decided,1
live,1
For,1
future,1
Never,1
Keep,1
経っ,1
抱きかかえ,1
哀しく,1
虚しく,1
ハジマリノウタ,1
立て,1
滲む,1
もらっ,1
仕方ない,1
途中,1
朱,1
染まる,1
揺るぎない,1
真ん中,1
託し,1
示し,1
解り合え,1
言い切っ,1
溢れ,1
ぎこちない,1
連綿,1
いき,1
柔らかい,1
陽,1
浴びれ,1
出せる,1
残そう,1
名付けよう,1
つつましく,1
育て,1
奪い,1
石ころ,1
勘違い,1
伝わっ,1
いえ,1
意気,1
彷徨う,1
身代わり,1
ささやか,1
笑いあう,1
祈っ,1
惨憺,1
見る,1
歪み,1
呑ん,1
大袈裟,1
不甲斐ない,1
超えよう,1
つなぐ,1
瞼,1
しまい,1
泣き喚い,1
振ら,1
心療,1
内科,1
先生,1
相談,1
自業,1
自得,1
説教,1
帰さ,1
ヤブ,1
医者,1
悪い,1
百,1
承知,1
開き直れる,1
さながら,1
嫌悪,1
吹きだまり,1
脅し,1
類い,1
漫画,1
小説,1
資源,1
ゴミ,1
枕元,1
ほざく,1
おまえ,1
役,1
立た,1
ゴミ屑,1
忸怩,1
プライド,1
ギリギリ,1
夜空,1
余裕,1
浮かび,1
来い,1
所,1
追いつめ,1
手段,1
選べ,1
凡庸,1
不在,1
挑ん,1
ヘマ,1
笑わ,1
ムキ,1
天の邪鬼,1
時給,1
余命,1
切り売り,1
裏切ら,1
なりゃ,1
儲け物,1
多い,1
魚,1
少年,1
後ろ指,1
差し,1
嘲笑っ,1
見返し,1
建前,1
しがない,1
唄う,1
勝ち,1
無様,1
差し伸べ,1
置く,1
一杯,1
怠けりゃ,1
途絶える,1
航路,1
面目,1
抗う,1
射し,1
自ずと,1
死に,1
切れ,1
弁明,1
Give,1
second,1
get,1
story,1
straight,1
bathroom,1
getting,1
Empire,1
State,1
lover,1
she's,1
across,1
seat's,1
taken,1
some,1
sunglasses,1
bout,1
scar',1
gave,1
ago,1
between,1
drinks,1
subtle,1
holes,1
apologies',1
hard,1
guess,1
ways,1
fall,1
apart,1
raise,1
cup,1
‘Cause,1
found,1
reason,1
angels,1
arrived,1
choir,1
GeG,1
Hiplin,1
Shoki,1
Kitaura,1
Melody,1
呼び起こし,1
Memory,1
うんざり,1
すんなり,1
Flash,1
汚い,1
分から,1
意外,1
計れ,1
限っ,1
かから,1
かかっ,1
面影,1
Stayin,1
days,1
end,1
crossover,1
clover,1
rover,1
moment,1
night,1
lonely,1
slowly,1
独り言,1
零れる,1
静寂,1
微か,1
ライン,1
隠さ,1
聴か,1
小高光,1
太郎,1
Ceui,1
地図,1
行き止まり,1
迷路,1
傷つき,1
鍵,1
奮い立た,1
人ごみ,1
ノート,1
開こう,1
モノクロ,1
色鮮やか,1
理想,1
大き,1
つらく,1
ありのまま,1
語りかけよう,1
アサヒ,1
ビール,1
福岡,1
ソフト,1
バンク,1
ホークス,1
応援,1
プロジェクト,1
FCI,1
モーニング,1
EYE,1
聴こえる,1
雨音,1
まぎれこん,1
やさしい,1
あけ,1
みれ,1
差し込ん,1
一筋,1
飛び出し,1
隠せ,1
曇っ,1
ブラシ,1
磨い,1
あげよう,1
かなえる,1
じゃおう,1
駆け上がっ,1
すうっ,1
架かっ,1
虹色,1
寝ぼけ,1
目覚める,1
寝ぐせ,1
穏やか,1
過ぎ去る,1
任せ,1
苦い,1
珈琲,1
食事,1
摂っ,1
あえ,1
ふるえる,1
つくっ,1
くさ,1
押す,1
いのち,1
悲しく,1
分かちあい,1
奏,1
しい,1
やどる,1
さだめ,1
阳,1
ぶつけあう,1
筑,1
たがい,1
たくさ,1
,
